Name,Gal. Coord.,RA,DEC,Size,Statut
Mo 6,,05:21:54.10,+36:38:21.98,1.5 x 1.1 min d'arc,Nouvelle candidate
StDr Objet 17,,05:23:09.04,+55:02:35.76,15 min d'arc,Nouvelle candidate
Br 3,,05:24:01.24,+24:33:45.90,0.3 min d'arc,Possible NP
LiKaMa 1,,05:25:44.38,+41:42:36.38,0.7 min d'arc,Nouvelle candidate
Ga 1,,05:25:56.63,+07:48:21.70,0.5 min d'arc,Vraie NP
LDû 32,,05:27:35.26,+34:40:00.30,0.3 min d'arc,Nouvelle candidate
RaBel 1,,05:27:41.70,+34:41:33.90,0.3 min d'arc,Possible NP
Hu 4,,05:28:21.00,+53:31:20.00,4.2 x 4.2 min d'arc,NP Probable
Za 2,,05:30:21.70,-06:21:13.64,0.6 min d'arc,Nouvelle candidate
Dr 32,,05:34:06.69,+39:56:03.20,0.5 min d'arc,Vraie NP
StDr 144,,05:37:24.75,+28:42:39.69,16 min d'arc,Nouvelle candidate
Ra 39,,05:37:30.00,+22:57:13.90,0.6 min d'arc,Nouvelle candidate
Za 1,,05:37:41.50,-02:13:52.17,0.1 min d'arc,Nouvelle candidate
StDr 37,,05:37:44.06,+31:09:17.50,1.8 min d'arc,Nouvelle candidate
PaStDr 10,,05:38:36.82,-52:16:54.50,55 min d'arc,Nouvelle candidate
FoGl 1,,05:40:54.77,-69:26:46.00,0.5 x 0.5 min d'arc,Nouvelle candidate
Mo Objet 7,,05:41:50.15,-08:00:55.42,1.6 x 0.4 min d'arc,Nouvelle candidate
Or Objet 1,,05:42:17.22,+22:48:59.40,0.6 min d'arc,Nouvelle candidate
Mo Objet 13,,05:42:40.75,+37:39:48.57,0.2 x 0.1 min d'arc,Nouvelle candidate
StDr 8,,05:44:33.78,+33:21:37.29,0.7 min d'arc,Possible NP
StDr 128,,05:45:18.52,+14:45:44.24,3.5 min d'arc,Nouvelle candidate
Dr 34,,05:51:00.85,+29:39:10.14,0.5 x 0.4 min d'arc,Nouvelle candidate
StDr 1,,05:53:50.86,+24:02:27.11,4.8 min d'arc,Vraie NP
StDr Objet 7,,05:55:17.77,+23:34:02.67,1.4 min d'arc,Nouvelle candidate
LDû 10,,05:56:01.72,+01:13:24.00,2.7 min d'arc,Globule cométaire
Za Objet 2,,05:56:31.20,-08:30:19.10,0.6 x 0.5 min d'arc,Nouvelle candidate
Mo 4,,05:57:28.36,+02:31:53.70,6.4 x 2.4 min d'arc,Nouvelle candidate
Ra 41,,05:58:15.00,+20:16:17.00,0.6 min d'arc,Nouvelle candidate
Mul 19,,05:59:25.63,-72:38:44.30,0.1 min d'arc,NP Probable
Pre 5,,05:59:40.89,+28:50:29.00,0.9 min d'arc,Nouvelle candidate
Mul-LDu-IR 8,,05:59:57.80,+10:09:46.00,min d'arc,
Bic 3,,06:03:34.87,-69:40:13.80,0.1 min d'arc,
Ra 30,,06:04:32.00,+20:57:01.00,0.8 min d'arc,Vraie NP
Br 1,,06:06:18.37,+26:09:26.30,0.1 min d'arc,Nouvelle candidate
Ber 1,,06:06:50.64,+54:58:24.05,30 min d'arc,Possible NP
StDr 58,,06:07:59.22,+14:00:04.00,2 min d'arc,Nouvelle candidate
Ra 51,,06:08:52.00,+22:57:21.00,0.6 x 0.6 min d'arc,Nouvelle candidate
StDr 19,,06:10:36.21,+14:10:39.14,0.2 x 0.1 min d'arc,Candidat rémanent de supernova
StDr Objet 5,,06:10:57.83,+13:13:31.15,1.2 x 0.8 min d'arc,Nouvelle candidate
StDr 154,,06:11:28.30,+13:05:13.43,2.2 min d'arc,Nouvelle candidate
Bl 1,,06:12:50.50,+23:07:34.90,7.3 x 3.9 min d'arc,Nouvelle candidate
LDû 31,,06:13:51.03,+19:37:09.00,0.3 min d'arc,Vraie NP
Cop 3,,06:14:07.26,+16:29:18.70,0.2 min d'arc,Nouvelle candidate
Ra 34,,06:14:35.00,+23:35:04.00,1 min d'arc,Nouvelle candidate
Ra 54,,06:14:40.00,+18:49:15.00,1.0 x 0.6 min d'arc,NP Probable
Mul-LDu-IR 19,,06:14:58.90,+16:44:32.00,min d'arc,
LDû 4,,06:15:07.73,-43:49:18.60,0.4 min d'arc,Objet de nature inconnue
Pre 34,,06:16:07.20,+23:52:20.00,1.3 min d'arc,Nouvelle candidate
StDr 59,,06:16:07.92,+13:29:16.75,73.8 min d'arc,Nouvelle candidate
StDr 163,,06:17:16.19,+27:46:36.91,4 min d'arc,NP Probable
LDû 35,,06:19:05.00,-04:02:19.10,0.1 min d'arc,Nouvelle candidate
StDr Objet 8,,06:19:29.42,+17:22:56.62,1.8 x 1.5 min d'arc,Nouvelle candidate
Mul-LDu-IR 2,,06:21:57.10,-68:57:00.60,min d'arc,
Ma Objet 1,,06:22:25.96,+23:46:07.54,0.3 x 0.2 min d'arc,Nouvelle candidate
Ra 25,,06:22:35.00,+07:18:53.00,0.3 min d'arc,Nouvelle candidate
StDr 32,,06:25:53.99,+10:33:08.81,6.6 min d'arc,Nouvelle candidate
Bic 4,,06:26:47.62,-77:36:03.60,0.1 min d'arc,Nouvelle candidate
StDr 155,,06:32:24.58,+08:32:11.46,13.5 min d'arc,Nouvelle candidate
StDr 13,,06:34:22.65,+07:22:20.24,7.5 min d'arc,Vraie NP
Mul-IR 42,,06:36:26.70,+09:20:22.00,min d'arc,
StDr 38,,06:37:32.39,-16:58:30.80,1.7 x 0.8 min d'arc,Nouvelle candidate
Mul-IR 74,,06:38:15.20,-01:30:44.40,min d'arc,
Mul-IR 43,,06:38:16.20,-01:33:08.00,0.1 min d'arc,Etoile avec raies en émission
Pre 31,,06:41:02.70,+10:56:13.90,0.1 min d'arc,Nouvelle candidate
PaRasMoMi 1,,06:41:30.00,+06:16:30.00,26 min d'arc,Nouvelle candidate
StDr 33,,06:44:52.15,+11:49:08.30,2.1 x 0.6 min d'arc,Nouvelle candidate
Ra 55,,06:45:05.00,+12:12:53.00,2.2 x 1.7 min d'arc,Nouvelle candidate
LDû 34,,06:46:00.90,-01:57:07.06,0.8 x 1.1 min d'arc,Nouvelle candidate
Mul-IR 90,,06:46:32.00,+02:18:29.00,min d'arc,
Mul-IR 44,,06:47:55.00,-02:08:39.00,min d'arc,
Pre Objet 2,,06:48:16.40,+10:3:55.00,1.4 x 0.8 min d'arc,Nouvelle candidate
Pre Objet 3,,06:48:58.20,+10:10:24.00,1.0 x 0.4 min d'arc,Nouvelle candidate
St 14,,06:49:23.36,-03:11:46.9,1.5 x 1.2 min d'arc,Nouvelle candidate
St Objet 1,,06:49:28.48,-04:9:29.50,1.5 x 0.7 min d'arc,Nouvelle candidate
StDr Objet 4,,06:51:36.59,+02:43:18.08,16 min d'arc,Nouvelle candidate
CaVa 1,,06:52:52.59,+09:04:22.70,7.9 min d'arc,Vraie NP
Mul 16,,06:54:38.70,-03:16:30.30,0.1 min d'arc,Objet intéressant
Fal Objet 1,,06:58:50.27,-06:33:32.79,47 min d'arc,Nouvelle candidate
StDr 39,,06:59:32.57,-10:52:14.30,9 min d'arc,Nouvelle candidate
Mo 2,,06:59:39.77,-02:07:21.30,0.1 min d'arc,Nouvelle candidate
StDr 62,,07:00:24.53,-04:13:15.30,0.1 min d'arc,Nouvelle candidate
Hu 6,,07:01:25.00,+08:15:00.00,210 min d'arc,Nouvelle candidate
Mul-IR 45,,07:01:37.43,-02:17:51.20,min d'arc,
StDr 44,,07:03:06.26,-07:31:45.40,21 x 13 min d'arc,Nouvelle candidate
Fal 1,,07:03:21.50,-34:03:45.29,10 min d'arc,Nouvelle candidate
DeGaPe 72,,07:03:28.51,-12:14:58.50,0.1 min d'arc,Etoile avec raies en émission
Pre Objet 15,,07:03:53.10,-23:54:43.50,0.5 min d'arc,Nouvelle candidate
DeGaPe 73,,07:04:41.90,-11:32:59.90,0.1 min d'arc,Nouvelle candidate
DeGaPe 74,,07:05:21.30,-12:10:44.70,0.1 min d'arc,Etoile avec raies en émission
StDr 168,,07:06:15.55,+03:06:18.76,4 x 3.4 min d'arc,Nouvelle candidate
Ra 64,,07:06:49.95,-13:36:59.70,0.7 x 0.8 min d'arc,Nouvelle candidate
MoMi 3,,07:07:51.23,-12:07:50.92,1 x 0.4 min d'arc,Possible NP
StDr 169,,07:09:30.30,-18:31:44.63,0.5 x 0.4 min d'arc,Nouvelle candidate
Pre Objet 12,,07:12:40.21,-25:08:34.45,0.9 x 0.7 min d'arc,Nouvelle candidate
Mul-IR 46,,07:13:40.10,-12:22:06.50,min d'arc,
St 10,,07:17:58.99,-12:02:25.10,1.6 x 0.6 min d'arc,Nouvelle candidate
StDr 137,,07:18:57.80,+07:22:23.20,6.3 min d'arc,NP Probable
KinPau Objet 1,,07:19:12.50,-24:22:32.08,53 x 40 min d'arc,
Mo Objet 1,,07:19:31.90,-23:16:22.00,10.7 x 4.8 min d'arc,Nouvelle candidate
Dr 19,,07:20:18.50,-13:10:35.03,2.3 min d'arc,Nouvelle candidate
Mul-LDu-IR 10,,07:20:42.87,-19:29:06.00,min d'arc,
StDr 63,,07:23:17.07,-11:59:15.06,1.56 min d'arc,Nouvelle candidate
StDr 64,,07:25:25.42,-16:18:39.83,0.83 min d'arc,Nouvelle candidate
Mul-LDu-IR 16,,07:26:13.20,-18:06:35.20,min d'arc,
Dr 14,,07:29:05.45,-18:37:03.45,8.6 x 5.8 min d'arc,Nouvelle candidate
Lu 1,,07:29:13.74,-40:02:29.12,4 min d'arc,Possible NP
StDr Objet 9,,07:30:16.64,-19:59:22.43,11 min d'arc,NP Probable
StDr 65,,07:30:39.36,-09:25:22.62,3.3 min d'arc,Nouvelle candidate
Hu 5,,07:33:04.46,+04:52:02.7,4.4 x 3.5 min d'arc,NP Probable
StDr 157,,07:34:24.58,-29:12:48.78,4 min d'arc,Nouvelle candidate
StDr 66,,07:39:12.81,-24:05:49.48,1.49 min d'arc,Nouvelle candidate
Dr 2,,07:40:55.00,-33:33:22.84,1.3 min d'arc,NP Probable
St 3,,07:41:26.49,+12:10:20.60,0.1 min d'arc,Nouvelle candidate
StDr 20,,07:42:18.85,-16:08:41.14,6 min d'arc,Objet de nature inconnue
StDr 88,,07:42:21.45,-13:37:40.00,14 min d'arc,Possible NP
StDr 140,,07:43:20.32,+16:07:52.90,6.9 min d'arc,NP Probable
Pre 2,,07:43:32.60,-47:47:07.10,0.4 min d'arc,Nouvelle candidate
StDr 130,,07:44:11.83,-10:08:41.32,13 min d'arc,Nouvelle candidate
DoS 1,,07:44:56.74,-22:26:40.70,0.1 min d'arc,Nouvelle candidate
RebZva 1,,07:47:39.79,-33:24:20.30,1.3 min d'arc,Nouvelle candidate
StDr 67,,07:49:19.94,-26:21:22.50,8 min d'arc,Nouvelle candidate
Mo 14,,07:49:28.35,-33:42:28.00,0.7 x 0.3 min d'arc,Nouvelle candidate
Mo 17,,07:50:14.12,-33:26:36.00,0.7 x 0.5 min d'arc,Nouvelle candidate
StDr 40,,07:50:31.08,-24:26:38.54,5.5 x 3.0 min d'arc,Nouvelle candidate
St Objet 12,,07:50:42.85,-24:19:38.90,0.2 x 0.1 min d'arc,Nouvelle candidate
Mo Objet 5,,07:51:18.11,-26:46:41.10,1.2 x 1.0 min d'arc,Nouvelle candidate
Mo 15,,07:54:02.84,-25:33:21.20,5.2 x 3.8 min d'arc,Nouvelle candidate
St Objet 13,,07:54:18.60,-26:01:51.97,0.4 min d'arc,Nouvelle candidate
Fe 11,,07:57:08.10,-28:33:25.00,0.4 x 0.3 min d'arc,Nouvelle candidate
DoS 2,,07:58:12.05,-23:12:35.10,1.3 min d'arc,Nouvelle candidate
Dr 1,,07:59:49.12,-46:10:47.35,1.8 min d'arc,NP Probable
Mo Objet 11,,07:59:50.62,-35:17:39.13,0.3 x 0.1 min d'arc,Nouvelle candidate
StDr 48,,08:04:10.74,-29:21:57.50,3 min d'arc,Nouvelle candidate
PreMo Objet 1,,08:06:31.61,-37:30:03.30,1.6 x 1.3 min d'arc,Nouvelle candidate
Pre 50,,08:07:15.80,-35:26:39.00,0.8 x 0.4 min d'arc,Vraie NP
LDû 20,,08:09:00.47,-24:15:44.40,0.4 min d'arc,Nouvelle candidate
Dr 3,,08:11:58.34,-29:56:41.39,1.8 min d'arc,Nouvelle candidate
Mul-LDu-IR 11,,08:12:55.61,-38:28:19.20,min d'arc,
St 41,,08:14:31.12,-32:59:58.93,1.0 x 0.6 min d'arc,Nouvelle candidate
DeGaPe 58,,08:14:53.60,-35:42:53.20,0.1 min d'arc,Etoile avec raies en émission
DeGaPe 54,,08:15:45.80,-35:58:29.30,0.1 min d'arc,Nouvelle candidate
Mo 8,,08:15:49.81,-28:40:24.66,3.0 x 1.4 min d'arc,Nouvelle candidate
Or 3,,08:15:54.00,-16:16:01.90,0.2 x 0.1 min d'arc,Nouvelle candidate
DeGaPe 56,,08:16:27.20,-34:42:53.40,0.1 min d'arc,Nouvelle candidate
DeGaPe 52,,08:16:40.00,-35:46:39.20,0.1 min d'arc,Nouvelle candidate
Mul-LDu-IR 12,,08:17:04.47,-39:55:06.90,min d'arc,
Dr 22,,08:17:13.44,-31:03:39.06,4 min d'arc,Nouvelle candidate
DeGaPe 59,,08:17:34.84,-35:56:02.50,0.1 min d'arc,Nouvelle candidate
Dr 13,,08:17:51.85,-32:04:40.32,0.3 min d'arc,Nouvelle candidate
DeGaPe 71,,08:18:08.50,-42:34:16.00,0.1 min d'arc,Nouvelle candidate
DeGaPe 55,,08:18:26.50,-34:43:31.60,0.1 min d'arc,Nouvelle candidate
DeGaPe 57,,08:18:50.73,-35:13:48.70,0.1 min d'arc,Nouvelle candidate
Pre Objet 14,,08:21:17.50,-28:39:05.00,0.7 min d'arc,Nouvelle candidate
St Objet 9,,08:21:19.26,-34:11:54.23,1.6 x 1.4 min d'arc,Nouvelle candidate
DeGaPe 53,,08:21:24.00,-36:00:14.00,1 x 0.9 min d'arc,Possible NP
St Objet 10,,08:25:59.62,-33:30:04.91,1 min d'arc,Nouvelle candidate
St Objet 11,,08:27:43.01,-44:42:55.51,0.3 x 0.1 min d'arc,Nouvelle candidate
DeGaPe 75,,08:27:45.00,-42:22:59.90,0.1 min d'arc,Objet de nature inconnue
Ras Objet 2,,08:27:59.45,-39:57:03.80,0.5 x 0.4 min d'arc,Nouvelle candidate
Bea 1,,08:28:03.29,-14:58:54.60,0.3 min d'arc,Nouvelle candidate
Fe Objet 2,,08:30:11.30,-26:54:34.80,1.5 x 1.2 min d'arc,Nouvelle candidate
St 36,,08:32:39.26,-42:39:53.05,0.1 min d'arc,Nouvelle candidate
St 47,,08:35:18.40,-41:46:37.76,0.7 min d'arc,Nouvelle candidate
DeGaPe 1,,08:35:40.69,-43:48:30.60,1.0 x 0.9 min d'arc,NP Probable
Mul-LDu-IR 17,,08:39:10.50,-41:00:37.00,min d'arc,
StRas 2,,08:44:31.90,-46:00:13.51,0.2 min d'arc,NP Probable
St 45,,08:45:17.90,-38:18:11.00,0.7 min d'arc,Vraie NP
Mul-LDu-IR 7,,08:45:36.40,-42:12:31.00,min d'arc,
St 30,,08:48:35.07,-47:06:45.46,0.4 x 0.3 min d'arc,Nouvelle candidate
Mo 35,,08:50:08.33,-46:41:00.78,0.1 min d'arc,Nouvelle candidate
St 37,,08:50:54.04,-40:47:52.26,0.5 min d'arc,Nouvelle candidate
DeGaPe 3,,08:51:59.00,-46:10:50.80,0.1 min d'arc,Nouvelle candidate
Jonk 1,,08:52:41.05,-58:36:41.52,0.2 x 0.1 min d'arc,Possible NP
St 46,,08:53:41.36,-48:24:59.73,0.4 min d'arc,Nouvelle candidate
DeGaPe 26,,08:53:56.30,-46:44:06.90,0.1 min d'arc,Nouvelle candidate
StDr 129,,08:55:30.36,-23:34:43.70,3 min d'arc,Nouvelle candidate
DeGaPe 24,,08:55:31.00,-46:35:47.30,0.1 min d'arc,Nouvelle candidate
St 38,,08:56:24.83,-47:50:42.20,0.2 min d'arc,Nouvelle candidate
St 48,,08:57:27.36,-49:35:37.67,0.2 x 0.1 min d'arc,Nouvelle candidate
DeGaPe 31,,08:57:42.00,-43:34:49.50,0.1 min d'arc,Nouvelle candidate
DeGaPe Objet 2,,08:59:13.20,-45:45:01.60,0.1 min d'arc,Nouvelle candidate
PaEl 1,,09:01:03.32,+17:53:56.03,8 min d'arc,Nouvelle candidate
St Objet 7,,09:03:25.46,-49:57:35.95,0.1 x 0.6 min d'arc,Nouvelle candidate
Mo 36,,09:06:40.25,-52:06:41.80,0.3 x 0.2 min d'arc,Nouvelle candidate
Mul-LDu-IR 18,,09:09:23.85,-48:22:00.70,min d'arc,
Mul-LDu-IR 3,,09:11:57.36,-51:14:25.00,min d'arc,
MulPreLDu 1,,09:11:57.36,-51:14:25.00,0.1 min d'arc,Vraie NP
Fe 9,,09:15:49.00,-54:35:33.00,0.9 x 0.9 min d'arc,Nouvelle candidate
Mo 22,,09:16:58.50,-51:35:38.20,0.2 min d'arc,Vraie NP
Mul-LDu-IR 4,,09:19:20.17,-54:56:37.20,min d'arc,
MulLDu 1,,09:19:20.40,-54:56:39.08,0.1 min d'arc,Nouvelle candidate
Mur Objet 1,,09:24:53.49,-46:28:08.30,0.3 min d'arc,Nouvelle candidate
StDr 68,,09:25:30.34,-57:11:43.60,2 min d'arc,Nouvelle candidate
PreMo 1,,09:26:12.09,-49:57:30.32,0.2 min d'arc,Nouvelle candidate
StDr Objet 20,,09:26:20.58,-22:23:39.13,28 min d'arc,NP Probable
St Objet 6,,09:26:30.06,-53:00:49.02,0.3 min d'arc,ISM ionisé
StDr 47,,09:27:31.46,-23:22:34.40,4.5 min d'arc,NP Probable
Pa 168,,09:30:25.00,-50:16:30.60,0.1 min d'arc,Vraie NP
StDrMoMi 1,,09:34:48.60,-33:18:48.00,3 min d'arc,Nouvelle candidate
Mul-LDu-IR 5,,09:35:34.95,-45:38:09.50,min d'arc,
Dr Objet 6,,09:37:23.81,-36:59:22.61,6.3 min d'arc,Nouvelle candidate
St 33,,09:37:53.03,-56:07:56.60,0.7 min d'arc,Nouvelle candidate
StDr 131,,09:38:16.03,-25:46:16.27,25 min d'arc,Nouvelle candidate
Mo Objet 14,,09:41:55.71,-60:39:39.78,0.3 x 0.2 min d'arc,Nouvelle candidate
MulPre 4,,09:42:06.37,-53:00:03.55,0.1 min d'arc,NP Probable
Mul 5,,09:42:39.81,-52:16:57.68,0.1 min d'arc,Possible NP
St 50,,09:43:09.93,-51:37:26.94,0.3 min d'arc,Nouvelle candidate
Mul-LDu-IR 13,,09:44:02.60,-53:33:34.00,min d'arc,
Mo Objet 10,,09:47:10.84,-54:43:20.66,1.4 x 0.7 min d'arc,Nouvelle candidate
Or 4,,09:50:48.22,-28:01:51.60,0.2 min d'arc,Nouvelle candidate
Mo Objet 15,,09:54:40.09,-56:42:32.30,6.0 x 3.8 min d'arc,Nouvelle candidate
LDû 41,,09:55:19.07,-61:08:37.70,1.7 x 0.9 min d'arc,Nouvelle candidate
Mur 1,,09:55:31.33,-62:23:33.20,0.1 min d'arc,Nouvelle candidate
LDû 40,,09:56:06.66,-62:14:05.30,1 x 0.8 min d'arc,Nouvelle candidate
Mo 29,,09:58:53.27,-62:14:34.26,2.0 x 1.8 min d'arc,Nouvelle candidate
DoS 3,,09:59:42.76,-63:37:04.67,0.1 min d'arc,Nouvelle candidate
Su Objet 5,,10:10:11.60,-57:00:09.20,0.5 x 0.3 min d'arc,Nouvelle candidate
StDr 21,,10:12:51.49,-56:42:25.62,0.1 min d'arc,Nouvelle candidate
Pre 62,,10:13:18.64,-57:58:16.19,0.2 min d'arc,Nouvelle candidate
St 18,,10:17:36.38,-62:53:10.67,1.9 min d'arc,Nouvelle candidate
Ro Objet 1,,10:18:52.21,-62:20:55.96,0.4 min d'arc,Nouvelle candidate
DeGaPe Objet 3,,10:22:26.60,-58:47:02.10,1.9 x 1.9 min d'arc,Nouvelle candidate
